"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
6924,"07FA","medium_airport","Ocean Reef Club Airport",25.325399,-80.274803,8,"NA","US","US-FL","Key Largo","no",,"OCA","07FA","07FA","https://www.oceanreef.com/community/private-airport-1345.html","https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport",
12243,"5A8","medium_airport","Aleknagik / New Airport",59.2826004028,-158.617996216,66,"NA","US","US-AK","Aleknagik","yes",,"WKK","5A8","5A8",,"https://en.wikipedia.org/wiki/Aleknagik_Airport",
18945,"K61B","medium_airport","Boulder City Municipal Airport",35.947161,-114.858799,2201,"NA","US","US-NV","Boulder City","yes",,"BLD","KBVU","BVU",,"https://en.wikipedia.org/wiki/Boulder_City_Municipal_Airport","61B"
18966,"K67L","medium_airport","Mesquite Airport",36.833105,-114.055928,1978,"NA","US","US-NV","Mesquite","no",,"MFH","K67L","67L","http://www.cityofmesquite.com/457/Airport-Mesquite-Metro-Airport","https://en.wikipedia.org/wiki/Mesquite_Airport",
19033,"K76F","medium_airport","Van Zandt County Regional Airport",32.681499,-95.9841,518,"NA","US","US-TX","Wills Point","no",,,"K76F","76F",,"https://en.wikipedia.org/wiki/Van_Zandt_County_Regional_Airport",
19042,"K79J","medium_airport","South Alabama Regional At Bill Benton Field Airport",31.3088,-86.393799,310,"NA","US","US-AL","Andalusia/Opp","no",,,"K79J","79J",,"https://en.wikipedia.org/wiki/Andalusia-Opp_Airport","Andalusia Opp Airport"
3356,"KABE","medium_airport","Lehigh Valley International Airport",40.651773,-75.442797,393,"NA","US","US-PA","Allentown/Bethlehem","yes","KABE","ABE","KABE","ABE","https://flyabe.com","https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport","Allentown–Bethlehem–Easton International Airport"
3357,"KABI","medium_airport","Abilene Regional Airport",32.4113006592,-99.68190002440001,1791,"NA","US","US-TX","Abilene","yes","KABI","ABI","KABI","ABI",,"https://en.wikipedia.org/wiki/Abilene_Regional_Airport",
16091,"KABQ","large_airport","Albuquerque International Sunport",35.039976,-106.608925,5355,"NA","US","US-NM","Albuquerque","yes","KABQ","ABQ","KABQ","ABQ","http://www.abqsunport.com/","https://en.wikipedia.org/wiki/Albuquerque_International_Sunport",
3358,"KABR","medium_airport","Aberdeen Regional Airport",45.449100494384766,-98.42179870605469,1302,"NA","US","US-SD","Aberdeen","yes","KABR","ABR","KABR","ABR",,"https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport",
3359,"KABY","medium_airport","Southwest Georgia Regional Airport",31.532946,-84.196215,197,"NA","US","US-GA","Albany","yes","KABY","ABY","KABY","ABY",,"https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport",
3360,"KACK","medium_airport","Nantucket Memorial Airport",41.25310135,-70.06020355,47,"NA","US","US-MA","Nantucket","yes","KACK","ACK","KACK","ACK",,"https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport",
3361,"KACT","medium_airport","Waco Regional Airport",31.611299514770508,-97.23049926757812,516,"NA","US","US-TX","Waco","yes","KACT","ACT","KACT","ACT",,"https://en.wikipedia.org/wiki/Waco_Regional_Airport",
3362,"KACV","medium_airport","California Redwood Coast-Humboldt County Airport",40.978101,-124.109,221,"NA","US","US-CA","Arcata/Eureka","yes","KACV","ACV","KACV","ACV","https://flyacv.com","https://en.wikipedia.org/wiki/Arcata-Eureka_Airport","Arcata Airport, Arcata–Eureka Airport"
3363,"KACY","medium_airport","Atlantic City International Airport",39.456201,-74.577511,75,"NA","US","US-NJ","Atlantic City","yes","KACY","ACY","KACY","ACY","https://acairport.com","https://en.wikipedia.org/wiki/Atlantic_City_International_Airport",
19235,"KADH","medium_airport","Ada Regional Airport",34.805214,-96.671988,1016,"NA","US","US-OK","Ada","no","KADH","ADT","KADH","ADH",,"https://en.wikipedia.org/wiki/Ada_Municipal_Airport","Ada Municipal"
3364,"KADW","medium_airport","Joint Base Andrews",38.810799,-76.866997,280,"NA","US","US-MD","Camp Springs","no","KADW","ADW","KADW","ADW","http://www.jba.af.mil/","https://en.wikipedia.org/wiki/Joint_Base_Andrews","Andrews Air Force Base"
19242,"KAEG","medium_airport","Double Eagle II Airport",35.145199,-106.794998,5837,"NA","US","US-NM","Albuquerque","no",,,"KAEG","AEG",,"https://en.wikipedia.org/wiki/Double_Eagle_II_Airport",
3365,"KAEX","medium_airport","Alexandria International Airport",31.325828,-92.546702,89,"NA","US","US-LA","Alexandria","yes","KAEX","AEX","KAEX","AEX","https://www.alexandria-louisiana.com/alexandria-international-airport.htm","https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana)","England Air Park, England Air Force Base"
3366,"KAFW","medium_airport","Perot Field/Fort Worth Alliance Airport",32.99044,-97.31947,722,"NA","US","US-TX","Fort Worth","no","KAFW","AFW","KAFW","AFW","http://www.allianceairport.com/","https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport",
3367,"KAGC","medium_airport","Allegheny County Airport",40.354401,-79.930199,1252,"NA","US","US-PA","Pittsburgh","no","KAGC","AGC","KAGC","AGC",,"https://en.wikipedia.org/wiki/Allegheny_County_Airport",
3368,"KAGS","medium_airport","Augusta Regional At Bush Field",33.3699,-81.9645,144,"NA","US","US-GA","Augusta","yes","KAGS","AGS","KAGS","AGS",,"https://en.wikipedia.org/wiki/Augusta_Regional_Airport",
3369,"KAHN","medium_airport","Athens Ben Epps Airport",33.948842,-83.325634,808,"NA","US","US-GA","Athens","no","KAHN","AHN","KAHN","AHN",,"https://en.wikipedia.org/wiki/Athens-Ben_Epps_Airport",
19257,"KAIA","medium_airport","Alliance Municipal Airport",42.052543,-102.803965,3931,"NA","US","US-NE","Alliance","yes","KAIA","AIA","KAIA","AIA",,"https://en.wikipedia.org/wiki/Alliance_Municipal_Airport",
3370,"KAKR","medium_airport","Akron Fulton International Airport",41.037355,-81.46784,1067,"NA","US","US-OH","Akron","no","KAKR","AKC","KAKR","AKR","https://www.akronohio.gov/departments/service/engineering_bureau/akron_fulton_airport.php","https://en.wikipedia.org/wiki/Akron_Executive_Airport","Akron Executive, NAS Akron."
3371,"KALB","large_airport","Albany International Airport",42.748299,-73.801697,285,"NA","US","US-NY","Albany","yes","KALB","ALB","KALB","ALB","http://www.albanyairport.com/","https://en.wikipedia.org/wiki/Albany_International_Airport",
3372,"KALI","medium_airport","Alice International Airport",27.7409,-98.026901,178,"NA","US","US-TX","Alice","no","KALI","ALI","KALI","ALI",,"https://en.wikipedia.org/wiki/Alice_International_Airport",
3373,"KALM","medium_airport","Alamogordo White Sands Regional Airport",32.837818,-105.993149,4200,"NA","US","US-NM","Alamogordo","no","KALM","ALM","KALM","ALM",,"https://en.wikipedia.org/wiki/Alamogordo-White_Sands_Regional_Airport",
3374,"KALN","medium_airport","St Louis Regional Airport",38.89030075069999,-90.0459976196,544,"NA","US","US-IL","Alton/St Louis","no","KALN","ALN","KALN","ALN",,"https://en.wikipedia.org/wiki/St._Louis_Regional_Airport","Civic Memorial Airport"
3375,"KALO","medium_airport","Waterloo Regional Airport",42.557098388671875,-92.40029907226562,873,"NA","US","US-IA","Waterloo","yes","KALO","ALO","KALO","ALO",,"https://en.wikipedia.org/wiki/Waterloo_Regional_Airport",
19275,"KALS","medium_airport","San Luis Valley Regional Airport/Bergman Field",37.434898,-105.866997,7539,"NA","US","US-CO","Alamosa","yes","KALS","ALS","KALS","ALS","https://www.sanluisvalleyairport.org/","https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport",
3376,"KALW","medium_airport","Walla Walla Regional Airport",46.09489822,-118.288002,1194,"NA","US","US-WA","Walla Walla","yes","KALW","ALW","KALW","ALW",,"https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport",
3377,"KAMA","medium_airport","Rick Husband Amarillo International Airport",35.217857,-101.706444,3607,"NA","US","US-TX","Amarillo","yes","KAMA","AMA","KAMA","AMA","http://airport.amarillo.gov/","https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport",
3378,"KANB","medium_airport","Anniston Regional Airport",33.5882,-85.8581,612,"NA","US","US-AL","Anniston","no","KANB","ANB","KANB","ANB",,"https://en.wikipedia.org/wiki/Anniston_Metropolitan_Airport","Anniston Metropolitan"
