iata,zone
ABE,America/New_York
ABI,America/Chicago
ABQ,America/Denver
ABR,America/Chicago
ACT,America/Chicago
ACV,America/Los_Angeles
ACY,America/New_York
ADK,America/Adak
ADQ,America/Anchorage
AEX,America/Chicago
AGS,America/New_York
ALB,America/New_York
ALO,America/Chicago
AMA,America/Chicago
ANC,America/Anchorage
APN,America/New_York
ASE,America/Denver
ATL,America/New_York
ATW,America/Chicago
ATY,America/Chicago
AUS,America/Chicago
AVL,America/New_York
AVP,America/New_York
AZA,America/Phoenix
AZO,America/New_York
BDL,America/New_York
BET,America/Anchorage
BFF,America/Denver
BFL,America/Los_Angeles
BGR,America/New_York
BHM,America/Chicago
BIH,America/Los_Angeles
BIL,America/Denver
BIS,America/Chicago
BJI,America/Chicago
BLI,America/Los_Angeles
BLV,America/Chicago
BMI,America/Chicago
BNA,America/Chicago
BOI,America/Denver
BOS,America/New_York
BPT,America/Chicago
BQN,America/Puerto_Rico
BRD,America/Chicago
BRO,America/Chicago
BRW,America/Anchorage
BTM,America/Denver
BTR,America/Chicago
BTV,America/New_York
BUF,America/New_York
BUR,America/Los_Angeles
BWI,America/New_York
BZN,America/Denver
CAE,America/New_York
CAK,America/New_York
CDC,America/Denver
CDV,America/Anchorage
CHA,America/New_York
CHO,America/New_York
CHS,America/New_York
CID,America/Chicago
CIU,America/New_York
CKB,America/New_York
CLD,America/Los_Angeles
CLE,America/New_York
CLL,America/Chicago
CLT,America/New_York
CMH,America/New_York
CMI,America/Chicago
CMX,America/New_York
COD,America/Denver
COS,America/Denver
COU,America/Chicago
CPR,America/Denver
CRP,America/Chicago
CRW,America/New_York
CVG,America/New_York
CWA,America/Chicago
CYS,America/Denver
DAB,America/New_York
DAL,America/Chicago
DAY,America/New_York
DCA,America/New_York
DDC,America/Chicago
DEC,America/Chicago
DEN,America/Denver
DFW,America/Chicago
DIK,America/Denver
DLH,America/Chicago
DRO,America/Denver
DSM,America/Chicago
DTW,America/New_York
DVL,America/Chicago
EAR,America/Chicago
EAU,America/Chicago
ECP,America/Chicago
EGE,America/Denver
EKO,America/Los_Angeles
ELM,America/New_York
ELP,America/Denver
ESC,America/New_York
EUG,America/Los_Angeles
EVV,America/Chicago
EWN,America/New_York
EWR,America/New_York
EYW,America/New_York
FAI,America/Anchorage
FAR,America/Chicago
FAT,America/Los_Angeles
FCA,America/Denver
FLG,America/Phoenix
FLL,America/New_York
FMN,America/Denver
FNT,America/New_York
FOD,America/Chicago
FSD,America/Chicago
FSM,America/Chicago
FWA,America/New_York
GCC,America/Denver
GCK,America/Chicago
GEG,America/Los_Angeles
GFK,America/Chicago
GGG,America/Chicago
GJT,America/Denver
GNV,America/New_York
GPT,America/Chicago
GRB,America/Chicago
GRI,America/Chicago
GRK,America/Chicago
GRR,America/New_York
GSO,America/New_York
GSP,America/New_York
GTF,America/Denver
GTR,America/Chicago
GUC,America/Denver
GUF,America/Chicago
GUM,Pacific/Guam
HDN,America/Denver
HGR,America/New_York
HHH,America/New_York
HIB,America/Chicago
HLN,America/Denver
HNL,Pacific/Honolulu
HOB,America/Denver
HOU,America/Chicago
HPN,America/New_York
HRL,America/Chicago
HSV,America/Chicago
HTS,America/New_York
HYS,America/Chicago
IAD,America/New_York
IAG,America/New_York
IAH,America/Chicago
ICT,America/Chicago
IDA,America/Denver
ILM,America/New_York
IMT,America/Chicago
IND,America/New_York
INL,America/Chicago
ISP,America/New_York
ITO,Pacific/Honolulu
JAC,America/Denver
JAN,America/Chicago
JAX,America/New_York
JFK,America/New_York
JLN,America/Chicago
JMS,America/Chicago
JNU,America/Anchorage
JST,America/New_York
KOA,Pacific/Honolulu
KTN,America/Anchorage
LAF,America/Chicago
LAN,America/New_York
LAR,America/Denver
LAS,America/Los_Angeles
LAW,America/Chicago
LAX,America/Los_Angeles
LBB,America/Chicago
LBE,America/New_York
LBF,America/Chicago
LBL,America/Chicago
LCH,America/Chicago
LCK,America/New_York
LEX,America/New_York
LFT,America/Chicago
LGA,America/New_York
LGB,America/Los_Angeles
LIH,Pacific/Honolulu
LIT,America/Chicago
LNK,America/Chicago
LRD,America/Chicago
LSE,America/Chicago
LWB,America/New_York
LWS,America/Los_Angeles
LYH,America/New_York
MAF,America/Chicago
MBS,America/New_York
MCI,America/Chicago
MCO,America/New_York
MCW,America/Chicago
MDT,America/New_York
MDW,America/Chicago
MEI,America/Chicago
MEM,America/Chicago
MFE,America/Chicago
MFR,America/Los_Angeles
MGM,America/Chicago
MGW,America/New_York
MHK,America/Chicago
MHT,America/New_York
MIA,America/New_York
MKE,America/Chicago
MLB,America/New_York
MLI,America/Chicago
MLU,America/Chicago
MOB,America/Chicago
MOT,America/Chicago
MQT,America/New_York
MRY,America/Los_Angeles
MSN,America/Chicago
MSO,America/Denver
MSP,America/Chicago
MSY,America/Chicago
MTJ,America/Denver
MYR,America/New_York
OAJ,America/New_York
OAK,America/Los_Angeles
OGG,Pacific/Honolulu
OKC,America/Chicago
OMA,America/Chicago
OME,America/Nome
ONT,America/Los_Angeles
ORD,America/Chicago
ORF,America/New_York
ORH,America/New_York
OTH,America/Los_Angeles
OTZ,America/Nome
PAE,America/Los_Angeles
PAH,America/Chicago
PBG,America/New_York
PBI,America/New_York
PDX,America/Los_Angeles
PGD,America/New_York
PHL,America/New_York
PHX,America/Phoenix
PIA,America/Chicago
PIB,America/Chicago
PIE,America/New_York
PIH,America/Denver
PIR,America/Chicago
PIT,America/New_York
PLN,America/New_York
PNS,America/Chicago
PPG,Pacific/Pago_Pago
PQI,America/New_York
PRC,America/Phoenix
PSC,America/Los_Angeles
PSE,America/Puerto_Rico
PSG,America/Anchorage
PSM,America/New_York
PSP,America/Los_Angeles
PVD,America/New_York
PVU,America/Denver
PWM,America/New_York
RAP,America/Denver
RDD,America/Los_Angeles
RDM,America/Los_Angeles
RDU,America/New_York
RFD,America/Chicago
RHI,America/Chicago
RIC,America/New_York
RIW,America/Denver
RKS,America/Denver
RNO,America/Los_Angeles
ROA,America/New_York
ROC,America/New_York
ROW,America/Denver
RST,America/Chicago
RSW,America/New_York
SAF,America/Denver
SAN,America/Los_Angeles
SAT,America/Chicago
SAV,America/New_York
SBA,America/Los_Angeles
SBN,America/New_York
SBP,America/Los_Angeles
SCC,America/Anchorage
SCE,America/New_York
SCK,America/Los_Angeles
SDF,America/New_York
SEA,America/Los_Angeles
SFB,America/New_York
SFO,America/Los_Angeles
SGF,America/Chicago
SGU,America/Denver
SHD,America/New_York
SHR,America/Denver
SHV,America/Chicago
SIT,America/Anchorage
SJC,America/Los_Angeles
SJT,America/Chicago
SJU,America/Puerto_Rico
SLC,America/Denver
SLN,America/Chicago
SMF,America/Los_Angeles
SMX,America/Los_Angeles
SNA,America/Los_Angeles
SPI,America/Chicago
SPN,Pacific/Guam
SPS,America/Chicago
SRQ,America/New_York
STC,America/Chicago
STL,America/Chicago
STS,America/Los_Angeles
STT,America/St_Thomas
STX,America/St_Thomas
SUN,America/Denver
SUX,America/Chicago
SWF,America/New_York
SWO,America/Chicago
SYR,America/New_York
TLH,America/New_York
TOL,America/New_York
TPA,America/New_York
TRI,America/New_York
TTN,America/New_York
TUL,America/Chicago
TUS,America/Phoenix
TVC,America/New_York
TWF,America/Denver
TXK,America/Chicago
TYR,America/Chicago
TYS,America/New_York
USA,America/New_York
VCT,America/Chicago
VPS,America/Chicago
VRB,America/New_York
WRG,America/Anchorage
XNA,America/Chicago
XWA,America/Denver
YAK,America/Yakutat
YUM,America/Phoenix
